Curva I-V (celda en obscuridad)
Voltaje (Volts)	Corriente(Amperes)
-7.000E-1	-1.135E-7
-6.858E-1	-1.123E-7
-6.717E-1	-1.124E-7
-6.576E-1	-1.129E-7
-6.434E-1	-1.118E-7
-6.293E-1	-1.130E-7
-6.151E-1	-1.127E-7
-6.010E-1	-1.125E-7
-5.868E-1	-1.122E-7
-5.727E-1	-1.123E-7
-5.586E-1	-1.118E-7
-5.444E-1	-1.123E-7
-5.302E-1	-1.123E-7
-5.161E-1	-1.126E-7
-5.020E-1	-1.122E-7
-4.879E-1	-1.124E-7
-4.737E-1	-1.120E-7
-4.596E-1	-1.118E-7
-4.454E-1	-1.118E-7
-4.313E-1	-1.124E-7
-4.171E-1	-1.121E-7
-4.030E-1	-1.124E-7
-3.889E-1	-1.119E-7
-3.747E-1	-1.121E-7
-3.606E-1	-1.122E-7
-3.464E-1	-1.121E-7
-3.322E-1	-1.123E-7
-3.182E-1	-1.124E-7
-3.040E-1	-1.123E-7
-2.898E-1	-1.124E-7
-2.757E-1	-1.118E-7
-2.615E-1	-1.121E-7
-2.474E-1	-1.121E-7
-2.333E-1	-1.115E-7
-2.191E-1	-1.119E-7
-2.050E-1	-1.113E-7
-1.909E-1	-1.117E-7
-1.767E-1	-1.121E-7
-1.626E-1	-1.117E-7
-1.484E-1	-1.113E-7
-1.343E-1	-1.115E-7
-1.202E-1	-1.117E-7
-1.060E-1	-1.123E-7
-9.182E-2	-1.123E-7
-7.771E-2	-1.123E-7
-6.357E-2	-1.117E-7
-4.942E-2	-1.115E-7
-3.524E-2	-1.118E-7
-2.109E-2	-1.119E-7
-6.958E-3	-1.117E-7
7.111E-3	-1.113E-7
2.126E-2	-1.122E-7
3.540E-2	-1.119E-7
4.959E-2	-1.116E-7
6.372E-2	-1.114E-7
7.786E-2	-1.117E-7
9.198E-2	-1.109E-7
1.061E-1	-1.097E-7
1.203E-1	-1.077E-7
1.344E-1	-1.043E-7
1.486E-1	-9.978E-8
1.627E-1	-9.137E-8
1.768E-1	-7.601E-8
1.910E-1	-4.941E-8
2.051E-1	-4.525E-9
2.193E-1	7.396E-8
2.334E-1	2.090E-7
2.476E-1	4.403E-7
2.616E-1	8.290E-7
2.758E-1	1.485E-6
2.900E-1	2.558E-6
3.041E-1	4.277E-6
3.183E-1	6.951E-6
3.324E-1	1.092E-5
3.465E-1	1.677E-5
3.607E-1	2.504E-5
3.748E-1	3.653E-5
3.890E-1	5.229E-5
4.032E-1	7.357E-5
4.173E-1	1.021E-4
4.314E-1	1.401E-4
4.455E-1	1.907E-4
4.597E-1	2.579E-4
4.738E-1	3.470E-4
4.880E-1	4.645E-4
5.021E-1	6.192E-4
5.162E-1	8.234E-4
5.304E-1	1.092E-3
5.445E-1	1.445E-3
5.587E-1	1.906E-3
5.728E-1	2.505E-3
5.869E-1	3.278E-3
6.011E-1	4.269E-3
6.153E-1	5.528E-3
6.294E-1	7.099E-3
6.436E-1	9.036E-3
6.577E-1	1.139E-2
6.718E-1	1.419E-2
6.860E-1	1.750E-2
7.001E-1	2.133E-2

Curva I-V (celda iluminada)
Voltaje (Volts)	Corriente(Amperes)
-7.000E-1	-4.104E-3
-6.858E-1	-4.110E-3
-6.717E-1	-4.151E-3
-6.576E-1	-4.184E-3
-6.434E-1	-4.151E-3
-6.293E-1	-4.181E-3
-6.151E-1	-4.164E-3
-6.010E-1	-4.145E-3
-5.868E-1	-4.159E-3
-5.727E-1	-4.144E-3
-5.586E-1	-4.178E-3
-5.444E-1	-4.165E-3
-5.302E-1	-4.156E-3
-5.161E-1	-4.158E-3
-5.020E-1	-4.187E-3
-4.879E-1	-4.149E-3
-4.737E-1	-4.149E-3
-4.596E-1	-4.138E-3
-4.454E-1	-4.119E-3
-4.313E-1	-4.133E-3
-4.171E-1	-4.143E-3
-4.030E-1	-4.146E-3
-3.889E-1	-4.141E-3
-3.747E-1	-4.147E-3
-3.606E-1	-4.168E-3
-3.464E-1	-4.173E-3
-3.322E-1	-4.144E-3
-3.182E-1	-4.121E-3
-3.040E-1	-4.119E-3
-2.898E-1	-4.152E-3
-2.757E-1	-4.133E-3
-2.615E-1	-4.142E-3
-2.474E-1	-4.134E-3
-2.333E-1	-4.139E-3
-2.191E-1	-4.141E-3
-2.050E-1	-4.108E-3
-1.909E-1	-4.136E-3
-1.767E-1	-4.143E-3
-1.626E-1	-4.139E-3
-1.484E-1	-4.144E-3
-1.343E-1	-4.148E-3
-1.202E-1	-4.113E-3
-1.060E-1	-4.139E-3
-9.184E-2	-4.090E-3
-7.772E-2	-4.135E-3
-6.357E-2	-4.168E-3
-4.943E-2	-4.144E-3
-3.525E-2	-4.136E-3
-2.110E-2	-4.126E-3
-6.948E-3	-4.126E-3
7.107E-3	-4.114E-3
